y	XI	x2	x3	x4	x5	x6
130.7	654	683	183	123	4.032	503
113.0	457	479	89	49	5.057	698
125.4	429	823	196	115	6.429	737
131.1	483	735	157	82	5.693	829
133.2	915	1.018	211	116	4.091	832
178.2	813	857	218	169	6.023	796
121.1	616	924	312	105	7.392	539
135.5	986	1.247	428	82	4.698	1.207
109.8	550	965	461	94	4.439	683
119.0	448	688	244	101	8.77	707
103.8	505	561	261	121	6.418	458
114.2	501	735	154	103	3.708	536
118.4	712	943	162	83	5.682	989
104.6	642	758	252	64	4.854	782
134.0	491	809	149	82	7.234	854
140.2	590	638	198	99	6.807	891
110.9	517	671	116	48	5.616	441
101.2	455	516	139	112	4.389	580
122.9	723	835	300	89	4.079	980
97.5	416	578	112	238	6944	512
124.1	960	878	277	47	4.673	1.1
120.1	535	1.278	306	129	7.218	1.019
138.4	642	848	352	100	6.595	676
108.5	489	663	148	103	6.616	671
97.5	413	688	115	77	6140	483
130.6	773	619	170	93	2.641	1.328
112.6	413	808	95	67	5.692	549
137.7	622	734	163	81	4.956	683
104.1	639	729	214	53	4615	1.223
113.2	747	1.087	353	77	6.028	826
